,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
373,373,93500,0.0,0.0,50.0,0
374,374,93750,7.2,7.2,50.0,0
375,375,94000,21.6,21.6,50.0,0
376,376,94250,15.8,15.8,50.0,0
377,377,94500,19.2,19.2,50.0,0
378,378,94750,25.4,25.4,50.0,0
379,379,95000,17.4,17.4,50.0,0
380,380,95250,9.8,9.8,50.0,0
381,381,95500,11.6,11.6,50.0,0
382,382,95750,7.0,7.0,50.0,0
383,383,96000,16.8,16.8,50.0,0
384,384,96250,7.0,7.0,50.0,0
385,385,96500,5.6,5.6,50.0,0
386,386,96750,0.0,0.0,50.0,0
387,387,97000,12.0,12.0,50.0,0
388,388,97250,2.4,2.4,50.0,0
389,389,97500,14.6,14.6,50.0,0
390,390,97750,19.6,19.6,50.0,0
391,391,98000,19.2,19.2,50.0,0
392,392,98250,5.8,5.8,50.0,0
393,393,98500,5.2,5.2,50.0,0
394,394,98750,5.4,5.4,50.0,0
395,395,99000,5.6,5.6,50.0,0
396,396,99250,4.4,4.4,50.0,0
397,397,99500,19.0,19.0,50.0,0
398,398,99750,5.2,5.2,50.0,0
399,399,100000,11.8,11.8,50.0,0
